2025.09.24 16:04:24 INFO  Started: Metals version 1.6.2 in folders '/Users/eyuaelberhe/gibbon' for client Trae 1.100.3.
2025.09.24 16:04:25 INFO  no build target found for /Users/eyuaelberhe/gibbon/gibbon-core/src/main/scala/gibbon/error/ErrorHandler.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.09.24 16:04:25 INFO  Attempting to connect to the build server...
2025.09.24 16:04:25 INFO  Found a Bloop server running
2025.09.24 16:04:25 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/eyuaelberhe/gibbon/.metals/bsp.trace.json or /Users/eyuaelberhe/Library/Caches/org.scalameta.metals/bsp.trace.json
2025.09.24 16:04:25 INFO  time: Connected to build server in 0.26s
2025.09.24 16:04:25 INFO  Connected to Build server: Bloop v2.0.13
2025.09.24 16:04:30 INFO  time: indexed workspace in 4.36s
2025.09.24 16:04:30 INFO  compiling core (31 scala sources)
2025.09.24 16:04:32 WARN  2 feature warnings; re-run with -feature for details
2025.09.24 16:04:32 INFO  compiling pekko (1 scala source)
2025.09.24 16:04:32 INFO  compiling core-test (11 scala sources)
2025.09.24 16:04:32 INFO  compiling akka (1 scala source)
2025.09.24 16:04:32 INFO  time: compiled core in 2.02s
2025.09.24 16:04:32 INFO  time: compiled pekko in 0.23s
2025.09.24 16:04:32 INFO  time: compiled akka in 0.23s
2025.09.24 16:04:32 INFO  time: compiled core-test in 0.55s
2025.09.24 16:06:33 INFO  compiling core-test (12 scala sources)
2025.09.24 16:06:33 INFO  time: compiled core-test in 0.71s
2025.09.24 16:06:40 INFO  compiling core-test (12 scala sources)
2025.09.24 16:06:40 INFO  time: compiled core-test in 0.44s
2025.09.24 16:06:48 INFO  compiling core-test (12 scala sources)
2025.09.24 16:06:48 INFO  time: compiled core-test in 0.41s
2025.09.24 16:07:29 INFO  compiling core-test (12 scala sources)
2025.09.24 16:07:29 INFO  time: compiled core-test in 0.63s
